     16451        100   1329797205   64.10 +-  3.59   61.85 +-  2.95    0.41 +-  0.39   61.09 +-  3.63   54.75 +-  3.06   -0.57 +-  0.40
     16452        100   1329849095   62.59 +-  4.51   74.72 +-  3.88   -0.95 +-  0.54   57.92 +-  4.47   59.14 +-  3.78   -0.91 +-  0.55
     16453        100   1329882525   62.35 +-  3.72   59.35 +-  3.13   -0.45 +-  0.42   62.34 +-  4.55   69.78 +-  3.95   -1.73 +-  0.50
     16456        100   1329962345                                     -0.73 +-  0.87   71.78 +-  5.86   70.73 +-  5.86   -0.75 +-  0.65
     16458        100   1329975923   63.45 +-  4.03   58.34 +-  3.34    0.38 +-  0.50   56.01 +-  3.80   52.66 +-  3.19   -0.53 +-  0.47
     16460        100   1330017252   60.87 +-  3.81   59.91 +-  3.13   -0.54 +-  0.48   63.00 +-  3.78   65.95 +-  3.18   -1.21 +-  0.46
     16461        100   1330051998   56.57 +-  4.83   60.23 +-  4.17   -1.22 +-  0.49   61.85 +-  4.12   71.20 +-  3.64   -1.07 +-  0.38
     16462        100   1330093576   64.89 +-  2.44   63.30 +-  2.44   -0.73 +-  0.87   58.87 +-  2.78   56.82 +-  2.78   -0.75 +-  0.65
     16463        100   1330112248   58.15 +-  4.21   60.89 +-  3.53    0.18 +-  0.49   55.93 +-  3.70   67.26 +-  3.18   -1.48 +-  0.43
     16464        100   1330147517   66.90 +-  2.98   65.08 +-  2.98   -0.73 +-  0.87   47.88 +-  5.30   37.63 +-  5.30   -0.75 +-  0.65
     16465        100   1330163601   56.39 +-  5.72   51.02 +-  4.96    0.71 +-  0.64   55.25 +-  4.13   56.55 +-  3.56   -0.47 +-  0.45
     16468        100   1330217630   64.32 +-  2.74   65.47 +-  2.74   -0.73 +-  0.87   66.52 +-  3.00   61.60 +-  3.00   -0.75 +-  0.65
     16470        100   1330237996   64.80 +-  3.33   72.17 +-  2.82   -0.86 +-  0.29   59.27 +-  3.17   66.26 +-  2.72   -0.99 +-  0.28
     16472        100   1330288920   63.49 +-  3.61   70.02 +-  3.04   -0.30 +-  0.37   55.17 +-  4.49   57.50 +-  3.70    0.42 +-  0.48
     16475        100   1330336516   61.04 +-  3.82   59.06 +-  3.11   -0.17 +-  0.41   60.77 +-  4.42   61.91 +-  3.70   -0.51 +-  0.46
     16480        100   1330403802   61.12 +-  3.58   60.82 +-  3.01   -0.45 +-  0.34   59.21 +-  4.45   58.39 +-  3.78   -0.37 +-  0.41
     16481        100   1330445300   56.32 +-  2.75   54.95 +-  2.75   -0.73 +-  0.87                                     -0.75 +-  0.65
     16484        100   1330469330   62.77 +-  3.99   61.81 +-  3.37   -0.67 +-  0.49   60.86 +-  6.80   64.33 +-  5.77   -1.26 +-  0.84
     16487        100   1330506815   66.89 +-  3.30   64.87 +-  3.30   -0.73 +-  0.87   60.56 +-  4.19   59.18 +-  4.19   -0.75 +-  0.65
     16494        100   1330615447   60.20 +-  4.40   58.25 +-  4.40   -0.73 +-  0.87   82.01 +-  4.42   79.16 +-  4.42   -0.75 +-  0.65
     16496        100   1330646057   66.32 +-  5.78   68.81 +-  4.60   -0.72 +-  0.69   65.77 +- 14.45   82.09 +- 12.04   -3.79 +-  1.65
     16497        100   1330685957   65.99 +-  3.04   64.38 +-  3.04   -0.73 +-  0.87   69.45 +-  4.66   67.04 +-  4.66   -0.75 +-  0.65
     16498        100   1330695883   65.20 +-  5.66   64.73 +-  4.63    0.23 +-  0.62   62.55 +- 11.32   81.02 +-  9.53   -2.83 +-  1.23
     16502        100   1330757770   69.58 +-  4.12   66.07 +-  3.45    0.49 +-  0.48   50.54 +-  7.04   47.59 +-  5.73    0.20 +-  0.90
     16504        100   1330796493   68.62 +-  2.84   66.02 +-  2.84   -0.73 +-  0.87   50.16 +-  3.98   48.38 +-  3.98   -0.75 +-  0.65
     16505        100   1330812970   68.16 +-  3.76   68.28 +-  3.17   -0.41 +-  0.38   55.86 +-  4.61   52.37 +-  4.61   -0.75 +-  0.65
     16506        100   1330853013   67.75 +-  2.87   67.74 +-  2.48   -0.13 +-  0.31   53.49 +-  3.32   55.40 +-  2.89   -0.36 +-  0.37
     16507        100   1330889270   68.74 +-  4.95   66.18 +-  4.11   -0.42 +-  0.59   51.22 +-  5.70   52.88 +-  4.77   -0.88 +-  0.70
     16509        100   1330931203   68.02 +-  7.15   66.27 +-  5.31    0.63 +-  1.02   49.10 +-  8.35   44.16 +-  6.32   -0.82 +-  1.22
     16511        100   1330979505   65.21 +-  5.33   67.89 +-  4.47   -0.53 +-  0.62   51.09 +-  5.78   56.05 +-  4.96   -1.32 +-  0.69
     16512        100   1331013527   67.20 +-  5.76   68.40 +-  4.70   -0.32 +-  0.62   54.86 +-  6.47   57.73 +-  5.38   -0.62 +-  0.72
     16514        100   1331071271   64.52 +-  7.85   57.86 +-  6.51    0.22 +-  1.33   55.15 +-  4.94   56.87 +-  4.21   -0.76 +-  0.81
     16515        100   1331095768   65.37 +-  5.40   66.71 +-  4.44    0.02 +-  0.70   54.15 +-  6.34   53.89 +-  5.28   -0.32 +-  0.82
     16523        100   1331188686   63.81 +- 11.39   58.33 +-  9.02   -0.79 +-  1.70   60.76 +-  7.91   48.30 +-  6.23   -0.20 +-  1.18
     16525        100   1331231614   79.94 +-  9.35   79.94 +-  9.35   -0.73 +-  0.87                                     -0.75 +-  0.65
     16529        100   1331257817   62.23 +-  5.87   61.65 +-  4.86    0.39 +-  0.69   55.65 +-  5.55   59.54 +-  4.65   -0.73 +-  0.67
     16530        100   1331291610   70.77 +-  6.39   66.27 +-  5.25   -1.09 +-  0.72   55.33 +-  4.09   52.85 +-  3.60   -0.75 +-  0.40
     16532        100   1331333215   64.98 +-  4.91   67.70 +-  4.80   -3.23 +-  2.06   58.43 +-  4.24   63.28 +-  3.23   -2.51 +-  1.05
     16534        100   1331379020   67.35 +-  4.74   72.33 +-  3.89   -0.47 +-  0.55   49.71 +-  5.24   43.12 +-  4.24    1.07 +-  0.61
     16538        100   1331427903   67.92 +-  5.43   67.88 +-  4.52   -0.60 +-  0.69   58.90 +-  5.18   60.44 +-  4.46   -1.80 +-  0.65
     16541        100   1331485160   62.16 +-  4.26   58.85 +-  3.51   -0.28 +-  0.54                                     -0.75 +-  0.65
     16543        100   1331522737   63.31 +-  4.19   62.10 +-  3.43    0.46 +-  0.48   56.35 +-  4.45   58.72 +-  3.75   -0.71 +-  0.51

