16705        255   1334109135   55.31   4.14   55.31   4.14   -0.71   0.57   58.90   4.89   58.44   4.89   -0.88   0.69
16709        255   1334194669   61.99   6.85   61.54   6.85   -0.71   0.57   62.11   7.54   61.63   7.54   -0.88   0.69
16710        255   1334204200   57.31   3.18   58.07   2.78   -0.11   0.39   59.44   3.59   58.71   3.59   -0.88   0.69
16715        255   1334266226   52.28   2.96   54.87   2.98   -1.30   0.36   0       0      0       0      -0.88   0.69
16716        255   1334289462   54.80   3.69   57.71   3.25   -1.34   0.65   59.14   4.08   73.14   3.74   -2.46   0.69
16717        255   1334313267   54.41   4.96   54.41   4.96   -0.71   0.57   56.05   3.41   55.61   3.41   -0.88   0.69
16720        255   1334336775   46.55   9.31   46.53   7.97    0.74   0.94   51.26   3.33   53.63   2.89   -0.64   0.37
16722        255   1334379463   48.22   3.77   48.40   3.71   -1.27   0.34   57.55   2.46   60.52   2.21   -0.41   0.25
16723        255   1334417061   47.63   3.13   50.01   2.73   -0.04   0.32   58.94   2.53   60.83   2.24   -0.05   0.25
16724        255   1334453303   50.39   3.83   47.90   3.61    0.09   0.23   57.16   2.55   57.22   2.26   -0.27   0.24
16725        255   1334492748   55.21   4.80   52.37   4.69    1.57   0.93   58.04   2.52   60.80   2.25   -0.46   0.26
16726        255   1334528774   56.50   6.48   54.11   5.02    0.56   0.81   58.45   3.20   61.77   2.93   -0.26   0.28
16727        255   1334571015   51.33   4.95   55.45   3.90   -0.46   0.68   54.34   2.49   53.33   2.17   -0.02   0.27
16730        255   1334627217   57.16   3.73   57.85   3.06    0.19   0.48   59.39   4.96   61.32   4.00   -0.60   0.68
16731        255   1334664914   65.62   4.11   67.88   3.19   -0.20   0.66   51.45   6.32   59.44   4.10   -2.40   1.24
16732        255   1334702916   56.12   3.31   56.12   3.31   -0.71   0.57   56.77   4.12   56.51   4.12   -0.88   0.69
16735        255   1334738930   57.08   3.24   64.20   3.09   -0.61   0.25   51.46   4.66   52.81   3.44   -0.62   0.66
